Cause,Fire-Start-Date,Initial-Report-Date,Fire-Out-Date,Region,Zone,County,Municipality,NFFL-Fuel-Model,Complex-Type,Acreage,Latitude,Longitude,Ownership,Reporting-Ranger,Fire-Report-Method,New-York-Zip-Codes,Counties,NYS-Municipal-Boundaries,duration,oil,year,month,day
Equipment,04/07/2013,04/07/2013,04/08/2013,4,4A,Columbia,CLAVERACK, 1 - Grass - Light,4.0,21.2,42.26334,-73.74068,Private Property,"DiCintio,Chris A",911 Dispatch,977.0,619.0,523.0,1.0,1,2013,04,07
Campfire,04/08/2013,04/08/2013,04/08/2013,3,3A,Sullivan,FALLSBURGH, 8 - Timber - Light Hardwood Litter,5.0,1.3,41.6933,-74.62191,Private Property,"Dawson,Robert B",911 Dispatch,1096.0,2180.0,660.0,0.0,8,2013,04,08
Incendiary,04/09/2013,04/09/2013,04/09/2013,3,3B,Dutchess,MILAN, 9 - Timber - Medium Hardwood Litter,2.0,2.8,41.97834,-73.75338,Private Property,"Dominesey,Megan M",Fire Department,1005.0,2040.0,593.0,0.0,9,2013,04,09
Children,04/09/2013,04/09/2013,04/11/2013,3,3B,Orange,BLOOMING GROVE,10 - Timber  - Heavy Litter/Downed Fuels,5.0,6.0,41.36256,-74.2301,Private Property,"Slingerland,David ",911 Dispatch,1498.0,2134.0,882.0,2.0,1,2013,04,09
Prescribed Fire,04/10/2013,04/10/2013,04/11/2013,1,1A,Suffolk,BROOKHAVEN, 3 - Grass - Heavy,4.0,80.6,40.90282,-72.92864,State Forest/RF Area,"Gallagher,Bryan ",Ranger Patrol,1636.0,2179.0,1022.0,1.0,3,2013,04,10
Children,04/15/2013,04/15/2013,04/16/2013,3,3B,Orange,WALLKILL, 9 - Timber - Medium Hardwood Litter,5.0,6.0,41.47716,-74.32334,OPR&HP (State Parks),"Tyrrell,Gregory ",Fire Department,1541.0,2134.0,886.0,1.0,9,2013,04,15
Structure,04/16/2013,04/16/2013,04/16/2013,5,5B,Essex,JAY, 1 - Grass - Light,5.0,1.0,44.37511,-73.70808000000002,Private Property,"Praczkajlo,Robert ",911 Dispatch,270.0,2084.0,443.0,0.0,1,2013,04,16
Prescribed Fire,04/18/2013,04/18/2013,04/19/2013,1,1A,Suffolk,BROOKHAVEN, 1 - Grass - Light,4.0,45.0,40.86476,-72.72391999999998,State Forest/RF Area,"Gallagher,Bryan ",Ranger Patrol,1534.0,2179.0,1022.0,1.0,1,2013,04,18
Prescribed Fire,04/18/2013,04/18/2013,04/18/2013,8,8A,Steuben,CAMERON, 1 - Grass - Light,4.0,16.0,42.21585,-77.40687,State Forest/RF Area,"Meehan,William X",Ranger Patrol,1765.0,2178.0,44.0,0.0,1,2013,04,18
Smoking,04/18/2013,04/18/2013,04/20/2013,8,8A,Ontario,NAPLES, 9 - Timber - Medium Hardwood Litter,4.0,11.0,42.61301,-77.39735,Wildlife Management Area,"Dormer,Patrick G",Fire Department,323.0,2133.0,804.0,2.0,9,2013,04,18
Prescribed Fire,04/22/2013,04/22/2013,04/23/2013,8,8A,Monroe,RUSH, 3 - Grass - Heavy,4.0,50.0,42.96013,-77.68404,Unique Area,"Meehan,William X",Ranger Patrol,401.0,2093.0,536.0,1.0,3,2013,04,22
Children,04/22/2013,04/22/2013,04/24/2013,5,5A,Franklin,HARRIETSTOWN, 8 - Timber - Light Hardwood Litter,4.0,1.5,44.33462,-74.13387,Private Property,"Zurek,Robert ",Fire Department,303.0,621.0,183.0,2.0,8,2013,04,22
Debris Burning,04/23/2013,04/23/2013,04/23/2013,5,5B,Clinton,BLACK BROOK, 2 - Grass - Understory,5.0,1.0,44.5792,-73.7504,Private Property,"Fox,Daniel ",911 Dispatch,304.0,2038.0,12.0,0.0,2,2013,04,23
Debris Burning,04/23/2013,04/23/2013,04/24/2013,5,5B,Franklin,MALONE, 7 - Brush - Understory,5.0,8.0,44.7718,-74.2526,Private Property,"Burns,Kevin ",911 Dispatch,278.0,621.0,182.0,1.0,7,2013,04,23
Debris Burning,04/23/2013,04/23/2013,04/23/2013,6,6A,St. Lawrence,EDWARDS, 1 - Grass - Light,1.0,4.2,44.30642,-75.20543,Private Property,"Thomes,Howard F",Landowner,1518.0,2140.0,333.0,0.0,1,2013,04,23
Smoking,04/24/2013,04/24/2013,04/24/2013,6,6A,St. Lawrence,CANTON, 1 - Grass - Light,5.0,0.5,44.63345,-75.25559,Other Government,"Thomes,Howard F",911 Dispatch,1611.0,2140.0,339.0,0.0,1,2013,04,24
Debris Burning,04/24/2013,04/24/2013,04/26/2013,5,5B,Franklin,MALONE, 8 - Timber - Light Hardwood Litter,5.0,0.8,44.87413,-74.30299000000002,Private Property,"Burns,Kevin ",911 Dispatch,278.0,621.0,182.0,2.0,8,2013,04,24
Debris Burning,04/24/2013,04/24/2013,04/25/2013,5,5E,Warren,THURMAN, 8 - Timber - Light Hardwood Litter,4.0,2.0,43.48465,-73.81537,Private Property,"Donegan,Evan F",911 Dispatch,156.0,2183.0,816.0,1.0,8,2013,04,24
Prescribed Fire,04/26/2013,04/26/2013,04/26/2013,4,4A,Albany,GUILDERLAND, 3 - Grass - Heavy,5.0,14.0,42.70714,-73.90160999999998,Other Government,"Glesmann,Karen ",Ranger Patrol,1229.0,2030.0,832.0,0.0,3,2013,04,26
Prescribed Fire,04/26/2013,04/26/2013,04/26/2013,8,8A,Chemung,BIG FLATS, 3 - Grass - Heavy,5.0,15.0,42.13195,-76.95427,Federal Lands,"Meehan,William X",Ranger Patrol,1760.0,2036.0,488.0,0.0,3,2013,04,26
Prescribed Fire,04/26/2013,04/26/2013,04/27/2013,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,4.0,32.2,40.89755,-72.82555,State Forest/RF Area,"Gallagher,Bryan ",Ranger Patrol,1607.0,2179.0,1017.0,1.0,1,2013,04,26
Railroad,04/27/2013,04/27/2013,04/30/2013,5,5E,Warren,JOHNSBURG, 8 - Timber - Light Hardwood Litter,5.0,1.0,43.70947,-73.9445,Conservation Easement,"Jeffery,Delbert W",911 Dispatch,157.0,2183.0,821.0,3.0,8,2013,04,27
Campfire,10/14/2014,10/14/2014,10/15/2014,7,7A,Broome,UNION,12 - Slash - Medium,4.0,1.7,42.13856,-76.01799,Private Property,"Oldroyd,Jeremy M",911 Dispatch,388.0,2033.0,938.0,1.0,1,2014,10,14
Power line,04/28/2013,04/28/2013,04/28/2013,3,3A,Sullivan,HIGHLAND, 9 - Timber - Medium Hardwood Litter,3.0,6.5,41.533,-74.905,Private Property,"Dominesey,Megan M",911 Dispatch,1044.0,2180.0,656.0,0.0,9,2013,04,28
Campfire,04/28/2013,04/28/2013,04/29/2013,6,6C,Herkimer,DANUBE, 3 - Grass - Heavy,5.0,1.9,43.01319,-74.79208,Other Government,"Pickett,Adam ",911 Dispatch,570.0,2088.0,683.0,1.0,3,2013,04,28
Debris Burning,04/29/2013,04/29/2013,04/30/2013,5,5B,Franklin,BURKE, 3 - Grass - Heavy,5.0,1.0,44.93397,-74.2037,Private Property,"VanLaer,Scott L",911 Dispatch,210.0,621.0,190.0,1.0,3,2013,04,29
Fireworks,04/23/2013,04/23/2013,04/23/2013,7,7A,Cortland,CINCINNATUS, 9 - Timber - Medium Hardwood Litter,5.0,0.3,42.5295,-75.93578000000002,State Forest/RF Area,"Giraud,William L",Other,358.0,620.0,779.0,0.0,9,2013,04,23
Debris Burning,05/01/2013,05/01/2013,05/02/2013,5,5B,Clinton,CHAMPLAIN, 8 - Timber - Light Hardwood Litter,5.0,2.7,44.97549,-73.40528,Private Property,"Russell,David G",911 Dispatch,212.0,2038.0,11.0,1.0,8,2013,05,01
Incendiary,05/01/2013,05/01/2013,05/03/2013,9,9A,Allegany,GRANGER,10 - Timber  - Heavy Litter/Downed Fuels,4.0,5.1,42.49087,-78.05093000000002,Private Property,"Liebig,Peter J",911 Dispatch,1713.0,2031.0,457.0,2.0,1,2013,05,01
Equipment,05/02/2013,05/02/2013,05/03/2013,8,8A,Steuben,CAMPBELL, 9 - Timber - Medium Hardwood Litter,4.0,4.8,42.18619,-77.10729,Private Property,"Carpenter,Timothy J",911 Dispatch,56.0,2178.0,43.0,1.0,9,2013,05,02
Equipment,05/02/2013,05/02/2013,05/03/2013,8,8A,Steuben,HORNBY, 8 - Timber - Light Hardwood Litter,5.0,2.0,42.21698,-77.03325,Private Property,"Staples,Anne M",911 Dispatch,1774.0,2178.0,49.0,1.0,8,2013,05,02
Power line,05/02/2013,05/02/2013,05/02/2013,7,7A,Chenango,SMITHVILLE,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.3,42.39189,-75.67803,Private Property,"Oldroyd,Jeremy M",911 Dispatch,451.0,2037.0,255.0,0.0,1,2013,05,02
Equipment,05/02/2013,05/02/2013,05/02/2013,9,9A,Allegany,ALMA, 3 - Grass - Heavy,4.0,0.3,42.06697,-78.02688,Private Property,"Thaine,Justin T",911 Dispatch,923.0,2031.0,472.0,0.0,3,2013,05,02
Smoking,05/02/2013,05/02/2013,05/02/2013,4,4B,Montgomery,GLEN, 8 - Timber - Light Hardwood Litter,5.0,5.5,42.8822,-74.33425,State Forest/RF Area,"Bink,Joseph L",911 Dispatch,1221.0,624.0,492.0,0.0,8,2013,05,02
Smoking,05/03/2013,05/03/2013,05/04/2013,4,4A,Columbia,HILLSDALE, 8 - Timber - Light Hardwood Litter,5.0,1.0,42.26826,-73.59048,Private Property,"DiCintio,Chris A",911 Dispatch,973.0,619.0,516.0,1.0,8,2013,05,03
Debris Burning,05/03/2013,05/03/2013,05/06/2013,5,5E,Warren,HORICON, 8 - Timber - Light Hardwood Litter,5.0,3.4,43.75731,-73.64896999999998,Private Property,"Kabrehl,Charles J",911 Dispatch,786.0,2183.0,822.0,3.0,8,2013,05,03
Debris Burning,05/03/2013,05/03/2013,05/05/2013,6,6C,Oneida,ROME, 8 - Timber - Light Hardwood Litter,4.0,2.2,43.23309,-75.58349,Unique Area,"Cornell,David ",911 Dispatch,1366.0,625.0,989.0,2.0,8,2013,05,03
Incendiary,05/03/2013,05/03/2013,05/08/2013,5,5F,Washington,FORT ANN, 8 - Timber - Light Hardwood Litter,5.0,6.0,43.55827,-73.54961,Forest Preserve,"Laczko,Jaime ",911 Dispatch,91.0,2184.0,727.0,5.0,8,2013,05,03
Campfire,05/03/2013,05/03/2013,05/03/2013,6,6B,Lewis,WATSON, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.74883,-75.33499,State Forest/RF Area,"Hubschmitt,Michael ",Ranger Patrol,555.0,623.0,611.0,0.0,8,2013,05,03
Debris Burning,05/04/2013,05/04/2013,05/04/2013,7,7A,Oswego,PARISH, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.42609,-76.06158,Private Property,"Jackson,Scott ",911 Dispatch,668.0,2135.0,237.0,0.0,8,2013,05,04
Equipment,05/04/2013,05/04/2013,05/06/2013,3,3B,Orange,DEERPARK, 9 - Timber - Medium Hardwood Litter,5.0,5.0,41.39519,-74.63419,Private Property,"Slingerland,David ",911 Dispatch,1091.0,2134.0,878.0,2.0,9,2013,05,04
Smoking,05/04/2013,05/04/2013,05/05/2013,5,5F,Saratoga,CLIFTON PARK, 8 - Timber - Light Hardwood Litter,5.0,0.8,42.82874,-73.8168,Private Property,"Goetke,Anthony G",911 Dispatch,1311.0,2141.0,1009.0,1.0,8,2013,05,04
Structure,05/04/2013,05/04/2013,05/05/2013,6,6C,Herkimer,WEBB, 8 - Timber - Light Hardwood Litter,4.0,2.2,43.66646,-75.08538,Private Property,"Richardson,Charles ",911 Dispatch,1380.0,2088.0,666.0,1.0,8,2013,05,04
Smoking,05/04/2013,05/04/2013,05/06/2013,5,5B,Franklin,DICKINSON, 8 - Timber - Light Hardwood Litter,5.0,3.6,44.69675,-74.54393,Private Property,"Russell,David G",911 Dispatch,222.0,621.0,187.0,2.0,8,2013,05,04
Debris Burning,05/05/2013,05/05/2013,05/05/2013,4,4B,Delaware,KORTRIGHT, 9 - Timber - Medium Hardwood Litter,5.0,1.0,42.40051,-74.78197,Private Property,"Henry,William ",911 Dispatch,1631.0,2039.0,563.0,0.0,9,2013,05,05
Debris Burning,05/05/2013,05/05/2013,05/05/2013,7,7A,Chenango,NEW BERLIN, 1 - Grass - Light,5.0,0.1,42.58507,-75.37373000000002,Private Property,"Oldroyd,Jeremy M",911 Dispatch,1273.0,2037.0,266.0,0.0,1,2013,05,05
Power line,05/05/2013,05/05/2013,05/05/2013,4,4B,Delaware,MIDDLETOWN, 8 - Timber - Light Hardwood Litter,5.0,0.2,42.20719,-74.60545,Private Property,"Bink,Joseph L",911 Dispatch,188.0,2039.0,560.0,0.0,8,2013,05,05
Incendiary,05/05/2013,05/05/2013,05/05/2013,9,9A,Allegany,BURNS, 8 - Timber - Light Hardwood Litter,4.0,4.9,42.41489,-77.75079000000002,Private Property,"Thaine,Justin T",911 Dispatch,1754.0,2031.0,464.0,0.0,8,2013,05,05
Debris Burning,05/05/2013,05/05/2013,05/06/2013,5,5D,Hamilton,LONG LAKE, 7 - Brush - Understory,5.0,1.0,43.85366,-74.66544,Private Property,"Scott,Jason S",Fire Department,130.0,622.0,864.0,1.0,7,2013,05,05
Incendiary,05/05/2013,05/05/2013,05/09/2013,5,5B,Franklin,MOIRA, 2 - Grass - Understory,5.0,7.9,44.87642,-74.50294,Private Property,"Russell,David G",911 Dispatch,209.0,621.0,181.0,4.0,2,2013,05,05
Debris Burning,05/05/2013,05/05/2013,05/08/2013,5,5F,Washington,EASTON, 8 - Timber - Light Hardwood Litter,5.0,2.0,43.1123,-73.55978,Private Property,"Solan,John X",911 Dispatch,96.0,2184.0,728.0,3.0,8,2013,05,05
Incendiary,05/05/2013,05/05/2013,05/07/2013,6,6B,Lewis,WATSON, 9 - Timber - Medium Hardwood Litter,4.0,2.7,43.81612,-75.38505,State Forest/RF Area,"Candee,Martin ",911 Dispatch,571.0,623.0,611.0,2.0,9,2013,05,05
Children,04/30/2013,05/05/2013,04/30/2013,1,1A,Suffolk,BROOKHAVEN, 9 - Timber - Medium Hardwood Litter,5.0,0.3,40.90264000000001,-72.7375,State Forest/RF Area,"Gallagher,Bryan ",911 Dispatch,1534.0,2179.0,1022.0,0.0,9,2013,04,30
Campfire,05/05/2013,05/05/2013,05/06/2013,4,4A,Greene,NEW BALTIMORE, 9 - Timber - Medium Hardwood Litter,4.0,0.3,42.38111,-73.80874,Forest Preserve,"Nelson,Christine X",911 Dispatch,21.0,2087.0,752.0,1.0,9,2013,05,05
Campfire,05/05/2013,05/05/2013,05/05/2013,6,6C,Herkimer,SCHUYLER, 9 - Timber - Medium Hardwood Litter,5.0,0.4,43.08936,-75.03493,State Forest/RF Area,"Pickett,Adam ",911 Dispatch,552.0,2088.0,669.0,0.0,9,2013,05,05
Debris Burning,05/05/2013,05/05/2013,05/07/2013,4,4A,Rensselaer,EAST GREENBUSH, 8 - Timber - Light Hardwood Litter,4.0,4.7,42.63306,-73.66493,Private Property,"Hess,Joseph C",911 Dispatch,1186.0,2138.0,129.0,2.0,8,2013,05,05
Equipment,05/05/2013,05/04/2013,05/08/2013,5,5F,Washington,SALEM, 8 - Timber - Light Hardwood Litter,4.0,0.1,43.16188,-73.38705999999998,Private Property,"Bodnar,Michael J",911 Dispatch,146.0,2184.0,717.0,3.0,8,2013,05,05
Power line,05/05/2013,05/05/2013,05/06/2013,5,5A,Hamilton,LONG LAKE, 8 - Timber - Light Hardwood Litter,5.0,0.3,43.97884000000001,-74.34559,Conservation Easement,"Jeffery,Delbert W",911 Dispatch,130.0,622.0,864.0,1.0,8,2013,05,05
Incendiary,05/05/2013,05/05/2013,05/06/2013,5,5A,Franklin,HARRIETSTOWN, 1 - Grass - Light,5.0,0.1,44.3482,-74.1445,Private Property,"Fox,Daniel ",Ranger Patrol,303.0,621.0,183.0,1.0,1,2013,05,05
Debris Burning,05/04/2013,05/04/2013,05/04/2013,5,5B,Clinton,CHAMPLAIN, 9 - Timber - Medium Hardwood Litter,3.0,2.6,44.93697,-73.47903000000002,Private Property,"Bronson,Glen A",911 Dispatch,212.0,2038.0,11.0,0.0,9,2013,05,04
Incendiary,05/01/2013,05/01/2013,05/03/2013,1,1A,Suffolk,BROOKHAVEN, 6 - Brush - Mixed/Regeneration,5.0,1.0,40.9207,-72.94124000000002,State Forest/RF Area,"Slade,Kevin M",Fire Department,1314.0,2179.0,1022.0,2.0,6,2013,05,01
Children,05/05/2013,05/06/2013,05/05/2013,7,7A,Onondaga,LAFAYETTE, 3 - Grass - Heavy,4.0,24.1,42.88578,-76.08379000000002,Private Property,"McPherson,James ",Supervisor,635.0,2132.0,698.0,0.0,3,2013,05,05
Debris Burning,05/06/2013,05/06/2013,05/07/2013,7,7A,Oswego,ALBION,11 - Slash - Light,4.0,0.1,43.48047,-76.09068,Private Property,"Jackson,Scott ",911 Dispatch,683.0,2135.0,252.0,1.0,1,2013,05,06
Debris Burning,05/06/2013,05/06/2013,05/08/2013,4,4A,Rensselaer,PITTSTOWN, 7 - Brush - Understory,4.0,1.5,42.88611,-73.56843,Private Property,"Hess,Joseph C",911 Dispatch,15.0,2138.0,117.0,2.0,7,2013,05,06
Power line,05/06/2013,05/06/2013,05/09/2013,5,5B,Essex,CHESTERFIELD, 8 - Timber - Light Hardwood Litter,5.0,1.0,44.4931,-73.4687,Private Property,"Fox,Daniel ",Ranger Patrol,273.0,2084.0,454.0,3.0,8,2013,05,06
Campfire,05/06/2013,05/06/2013,05/07/2013,8,8A,Schuyler,CATHARINE, 8 - Timber - Light Hardwood Litter,4.0,2.0,42.32481,-76.70631999999998,Wildlife Management Area,"Meehan,William X",911 Dispatch,1752.0,2143.0,648.0,1.0,8,2013,05,06
Campfire,05/07/2013,05/07/2013,05/08/2013,5,5F,Saratoga,PROVIDENCE, 8 - Timber - Light Hardwood Litter,5.0,1.5,43.09284,-73.97377,Private Property,"Goetke,Anthony G",911 Dispatch,132.0,2141.0,996.0,1.0,8,2013,05,07
Campfire,05/08/2013,05/08/2013,05/08/2013,5,5F,Washington,EASTON, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.10293,-73.57304,Private Property,"Solan,John X",Ranger Patrol,96.0,2184.0,728.0,0.0,8,2013,05,08
Debris Burning,05/08/2013,05/08/2013,05/10/2013,5,5B,Franklin,BRANDON, 9 - Timber - Medium Hardwood Litter,4.0,3.0,44.71641,-74.42534,Private Property,"Gliddi,Thomas ",Ranger Patrol,289.0,621.0,192.0,2.0,9,2013,05,08
Incendiary,05/08/2013,05/08/2013,05/09/2013,6,6A,St. Lawrence,HOPKINTON, 7 - Brush - Understory,4.0,5.1,44.38506,-74.46446,State Forest/RF Area,"Terry,Jay ",Ranger Patrol,305.0,621.0,178.0,1.0,7,2013,05,08
Incendiary,05/08/2013,05/08/2013,05/09/2013,5,5B,Clinton,PLATTSBURGH, 9 - Timber - Medium Hardwood Litter,4.0,0.4,44.67498,-73.47594000000002,Private Property,"Bronson,Glen A",Other,202.0,2038.0,4.0,1.0,9,2013,05,08
Prescribed Fire,05/09/2013,05/09/2013,05/09/2013,6,6A,St. Lawrence,FINE, 1 - Grass - Light,5.0,0.6,44.15543,-74.90069,Private Property,"Meehan,William X",DEC Dispatch,1622.0,2140.0,332.0,0.0,1,2013,05,09
Lightning,05/10/2013,05/10/2013,05/14/2013,6,6A,St. Lawrence,COLTON, 9 - Timber - Medium Hardwood Litter,4.0,6.8,44.26559,-74.72669,Private Property,"Benzel,William ",Other,215.0,2140.0,336.0,4.0,9,2013,05,10
Prescribed Fire,05/13/2013,05/13/2013,05/14/2013,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,4.0,33.0,40.90789,-72.76009,State Forest/RF Area,"Gallagher,Bryan ",Ranger Patrol,1534.0,2179.0,1017.0,1.0,1,2013,05,13
Incendiary,05/15/2013,05/15/2013,05/15/2013,8,8A,Steuben,COHOCTON, 1 - Grass - Light,5.0,3.5,42.5119,-77.53228,Private Property,"Carpenter,Timothy J",911 Dispatch,1772.0,2178.0,40.0,0.0,1,2013,05,15
Power line,05/16/2013,05/16/2013,05/16/2013,5,5E,Essex,TICONDEROGA, 8 - Timber - Light Hardwood Litter,5.0,0.5,43.88016,-73.56219,Private Property,"Kabrehl,Charles J",DEC Dispatch,154.0,2084.0,420.0,0.0,8,2013,05,16
Power line,05/16/2013,05/16/2013,05/17/2013,5,5E,Warren,JOHNSBURG, 8 - Timber - Light Hardwood Litter,5.0,1.5,43.6902,-73.9731,Private Property,"Kabrehl,Charles J",911 Dispatch,157.0,2183.0,821.0,1.0,8,2013,05,16
Lightning,05/16/2013,05/16/2013,05/27/2013,5,5E,Warren,WARRENSBURG, 9 - Timber - Medium Hardwood Litter,4.0,16.8,43.46688,-73.81283,Forest Preserve,"Donegan,Evan F",911 Dispatch,156.0,2183.0,815.0,11.0,9,2013,05,16
Power line,05/16/2013,05/16/2013,05/25/2013,5,5E,Warren,STONY CREEK, 8 - Timber - Light Hardwood Litter,5.0,5.0,43.41339,-73.90394,Private Property,"St. Claire,Mark R",Ranger Patrol,153.0,2183.0,817.0,9.0,8,2013,05,16
Miscellaneous,05/17/2013,05/17/2013,05/17/2013,9,9A,Cattaraugus,LITTLE VALLEY, 9 - Timber - Medium Hardwood Litter,5.0,1.0,42.21668,-78.70116,Private Property,"Rogers,Robert C",911 Dispatch,1741.0,2034.0,355.0,0.0,9,2013,05,17
Prescribed Fire,05/17/2013,05/17/2013,05/17/2013,4,4B,Albany,ALBANY, 1 - Grass - Light,1.0,3.8,42.71376,-73.88569,Other Government,"Edmunds,Thomas R",Other,40.0,2030.0,814.0,0.0,1,2013,05,17
Campfire,05/13/2013,05/21/2013,05/13/2013,1,1A,Suffolk,SOUTHAMPTON, 8 - Timber - Light Hardwood Litter,5.0,0.1,40.89957,-72.65264,State Forest/RF Area,"Gallagher,Bryan ",Fire Department,1530.0,2179.0,1013.0,0.0,8,2013,05,13
Equipment,05/30/2013,05/30/2013,05/30/2013,1,1A,Suffolk,SOUTHAMPTON, 1 - Grass - Light,5.0,0.1,40.90744,-72.70177,Other Government,"Thompson,Michael W",911 Dispatch,1530.0,2179.0,1013.0,0.0,1,2013,05,30
Campfire,06/01/2013,06/01/2013,06/03/2013,5,5D,Hamilton,INLET, 5 - Brush - Continuous but Light,5.0,0.1,43.78526,-74.69714,State Forest/RF Area,"Waters,James ",DEC Dispatch,565.0,622.0,866.0,2.0,5,2013,06,01
Lightning,06/26/2013,06/26/2013,06/27/2013,5,5B,Clinton,SARANAC, 8 - Timber - Light Hardwood Litter,5.0,0.1,44.69561,-73.88247,Private Property,"Russell,David G",911 Dispatch,277.0,2038.0,2.0,1.0,8,2013,06,26
Incendiary,07/17/2013,07/17/2013,07/23/2013,1,1A,Suffolk,BROOKHAVEN, 7 - Brush - Understory,5.0,4.2,40.90941,-72.92995,Unique Area,"Thompson,Michael W",911 Dispatch,1644.0,2179.0,1022.0,6.0,7,2013,07,17
Incendiary,08/05/2013,08/05/2013,08/05/2013,4,4A,Albany,COLONIE, 2 - Grass - Understory,5.0,0.1,42.73868,-73.88691999999998,Other Government,"Glesmann,Karen ",Other,72.0,2030.0,834.0,0.0,2,2013,08,05
Smoking,08/19/2013,08/19/2013,08/23/2013,5,5E,Essex,NORTH HUDSON,10 - Timber  - Heavy Litter/Downed Fuels,5.0,3.0,43.93263,-73.69293,Forest Preserve,"Schroeder,Rick A",DEC Dispatch,136.0,2084.0,429.0,4.0,1,2013,08,19
Campfire,08/22/2013,08/22/2013,08/24/2013,5,5E,Essex,SCHROON,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.3,43.83934,-73.67948,Wilderness Area,"Perryman,Arthur C",Ranger Patrol,148.0,2084.0,427.0,2.0,1,2013,08,22
Campfire,08/23/2013,08/23/2013,08/25/2013,5,5A,Hamilton,ARIETTA, 5 - Brush - Continuous but Light,5.0,0.1,43.85972,-74.56647,Forest Preserve,"Waters,James ",DEC Dispatch,130.0,622.0,870.0,2.0,5,2013,08,23
Campfire,09/08/2013,09/08/2013,09/08/2013,5,5E,Essex,TICONDEROGA, 9 - Timber - Medium Hardwood Litter,5.0,0.1,43.83956,-73.59183,Forest Preserve,"Kabrehl,Charles J",Ranger Patrol,154.0,2084.0,420.0,0.0,9,2013,09,08
Campfire,09/08/2013,09/08/2013,09/12/2013,5,5B,Essex,ELIZABETHTOWN, 8 - Timber - Light Hardwood Litter,5.0,0.2,44.15254,-73.63611,Forest Preserve,"Praczkajlo,Robert ",Ranger Patrol,287.0,2084.0,445.0,4.0,8,2013,09,08
Campfire,09/13/2013,09/13/2013,09/15/2013,5,5D,Hamilton,LAKE PLEASANT, 6 - Brush - Mixed/Regeneration,5.0,0.1,43.7179,-74.46848,Forest Preserve,"Lomnitzer,Bruce D",Ranger Patrol,1287.0,622.0,865.0,2.0,6,2013,09,13
Campfire,09/20/2013,09/20/2013,09/21/2013,5,5D,Hamilton,LAKE PLEASANT, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.59634000000001,-74.41657,Forest Preserve,"Kallen,David A",Other,1287.0,622.0,865.0,1.0,8,2013,09,20
Campfire,09/26/2013,09/26/2013,09/28/2013,5,5C,Essex,ST ARMAND,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.1,44.37497000000001,-74.05894,Forest Preserve,"Burns,Kevin ",Fire Department,303.0,2084.0,428.0,2.0,1,2013,09,26
Prescribed Fire,10/02/2013,10/02/2013,10/02/2013,4,4A,Albany,ALBANY, 5 - Brush - Continuous but Light,4.0,35.0,42.71361,-73.8613,Other Government,"Glesmann,Karen ",Ranger Patrol,42.0,2030.0,814.0,0.0,5,2013,10,02
Prescribed Fire,10/03/2013,10/03/2013,10/03/2013,4,4A,Albany,GUILDERLAND, 3 - Grass - Heavy,4.0,15.0,42.72986,-73.8813,Other Government,"Glesmann,Karen ",Ranger Patrol,72.0,2030.0,832.0,0.0,3,2013,10,03
Smoking,10/03/2013,10/03/2013,10/05/2013,5,5E,Warren,STONY CREEK, 8 - Timber - Light Hardwood Litter,5.0,0.3,43.4235,-73.88905,Private Property,"Donegan,Evan F",Fire Department,153.0,2183.0,817.0,2.0,8,2013,10,03
Equipment,10/03/2013,10/03/2013,10/05/2013,8,8A,Steuben,COHOCTON, 9 - Timber - Medium Hardwood Litter,4.0,11.2,42.51948,-77.39189,Private Property,"Carpenter,Timothy J",911 Dispatch,1772.0,2178.0,40.0,2.0,9,2013,10,03
Smoking,10/04/2013,10/04/2013,10/10/2013,5,5E,Warren,LAKE GEORGE, 8 - Timber - Light Hardwood Litter,5.0,2.0,43.48196,-73.72842,Private Property,"Kabrehl,Charles J",911 Dispatch,128.0,2183.0,820.0,6.0,8,2013,10,04
Campfire,10/10/2013,10/10/2013,10/13/2013,5,5C,Essex,KEENE,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.1,44.14466,-73.73555,Forest Preserve,"Kostoss,Christopher ",DEC Dispatch,272.0,2084.0,442.0,3.0,1,2013,10,10
Miscellaneous,10/18/2013,10/18/2013,10/21/2013,1,1A,Suffolk,BABYLON, 9 - Timber - Medium Hardwood Litter,4.0,0.1,40.76789,-73.30291,State Forest/RF Area,"Gallagher,Bryan ",911 Dispatch,1110.0,2179.0,1023.0,3.0,9,2013,10,18
Campfire,10/21/2013,10/21/2013,11/05/2013,3,3B,Orange,WARWICK,10 - Timber  - Heavy Litter/Downed Fuels,4.0,147.0,41.30126,-74.41623,Private Property,"Sabo,Scott L",911 Dispatch,1656.0,2134.0,885.0,15.0,1,2013,10,21
Power line,10/27/2013,10/27/2013,10/29/2013,4,4A,Columbia,CANAAN, 8 - Timber - Light Hardwood Litter,5.0,10.3,42.36429,-73.41209,Private Property,"DiCintio,Chris A",911 Dispatch,1155.0,619.0,525.0,2.0,8,2013,10,27
